text,emotion
متاسفانه دیروز کیفمو گم کردم,sadness
از این آدمایی که بدقولی میکنن واقعا بدم میاد,hate
چقدر همسایه طبقه بالامون سروصدا میکنه. دیگه اعصاب ندارم,anger
وای هفته بعد قراره برف بباره! وسط اردیبهشت!,surprise
چند وقته هرروز شیرینی میخورم. میترسم دیابت بگیرم,fear
چطوری توی یه روز سه بار میرید باشگاه؟,surprise
خدایی بهترین حس دنیا حس تموم شدن آخرین امتحانته,happiness
میترسم با این وضعیت قیمت دلار هر روز بیشتر شه,fear
از اینکه همش وارد روابط سمی میشم از خودم حس بد میگیرم :(,sadness
چرا انقدر لباسای مزخرف مد میشه؟؟ حالم به هم میخوره از لباساتون,hate
